time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
205000 89761927.459115 22144803.1548538 59130589.8818123 205842429.228784	205000 61559610.0529102 41656801.5299896 70656223.2956775 205445775.199362
206000 84222652.940631 22695801.7340257 59253661.9015149 222495992.974199	206000 61123616.47972 41912890.7207148 69833977.2285646 196088852.555233
207000 79404529.9524113 23276225.7489537 59472264.4076447 240689712.289861	207000 60691053.2104611 42184400.0256537 69081597.7422308 187848509.740639
208000 75177061.1175065 23888063.5696598 59776936.5362089 260421835.402245	208000 60261905.2972467 42471922.3628234 68393907.7306241 180395502.440607
209000 71439490.3935572 24533450.9438841 60158958.6409508 281601066.868742	209000 59836157.3112214 42776099.154016 67885589.4579442 173369484.906851
210000 68112788.5815766 25214681.3878944 60610124.9073167 304007166.859842	210000 59413793.3660511 43097624.3743584 67797973.1484962 166737968.251825
211000 65134097.9991618 25934216.9081936 61122558.4146802 327247024.310031	211000 58994797.1407309 43436572.8773658 67770711.8508423 160494351.855907
212000 62452798.8203644 26694698.9235377 61688561.6312551 350713953.776177	212000 58579151.901724 43784862.0241089 67800498.3937341 154701613.403955
213000 60027670.4271743 27498959.2030287 62300497.8138294 373564032.710027	213000 58166840.5244435 44139985.5304477 67884332.4043869 149427477.201829
214000 57824807.9222907 28350030.5671925 62950700.6247968 394728772.869787	214000 57757845.5140901 44502029.2519357 68019472.729772 144608927.21182
215000 55816069.3801351 29157783.2342644 63631410.6186417 412983988.88579	215000 57352149.0258592 44871082.4227577 68203395.7133063 140191535.569084
216000 53977902.5321685 30012769.3347382 64001300.3442349 427084867.514282	216000 56949732.8845279 45247237.6822267 68433758.3080326 136129377.696158
217000 52290446.9497305 30589196.4522088 63395577.1031395 435954371.873746	217000 56550578.6034374 45630591.106204 68708365.2010333 132383427.990544
218000 50736839.1006888 30390679.4805851 62783435.8686401 438882497.940247	218000 56154667.4028813 46021242.2434824 69025139.2804673 130719841.603708
219000 49302668.741519 30073800.4530748 62166790.4379606 435674199.274237	219000 55761980.2279136 46419294.1571989 69382094.9047362 132930127.996062
220000 47975549.5458991 29779932.1515709 61547931.4860911 426691688.15188	220000 55372497.7655897 46824853.4713691 69777313.5393605 135319790.428507
221000 46744776.9131923 29507660.3715557 60929459.2678679 412774530.244235	221000 54986200.4616509 47049004.0644372 70208921.4161457 137888643.299023
222000 45601052.9844502 29255725.6114441 60314223.1665385 395068502.422586	222000 54603068.5366679 47239264.1705271 70785357.7998598 140862968.353897
223000 44536263.957234 29023006.0259369 59705268.6362612 374823608.452037	223000 54223082.0016528 47438239.370592 72187319.8149401 144006413.31001
224000 43543298.4543139 28808502.8372987 59105791.9988853 353219478.036959	224000 53846220.6731545 47646049.3057256 73608548.4608207 147314936.606172
225000 42615898.3823631 28611327.8268145 58519103.4487193 331251334.655281	225000 53472995.0202427 47862822.7640902 75047905.9740338 150793754.586716
226000 41748535.6995262 28430692.5964277 57948598.5119144 309680863.698137	226000 53112594.3987602 48088697.973348 76504098.0535668 154448412.147502
227000 40936309.9915886 28265899.3453203 57397738.1153524 289037429.350627	227000 52767946.1502514 48323822.9222465 77975665.2307118 158284759.716944
228000 40174862.8727404 28116332.9507174 56870037.3562334 269649083.293196	228000 52438532.7279257 48568355.7131336 79282242.7146857 162308926.964774
229000 39460306.07567 27981454.1786318 57298513.8400351 251685531.197411	229000 52123868.3438538 48822464.947376 79174773.4738741 166527292.161332
230000 38789160.7463503 27860793.8802766 58045063.5084557 235201245.532356	230000 51823497.0011584 49086330.14588 79113308.208014 170946446.013329
231000 38158305.9614642 27753948.0547685 58869170.6950664 231807275.195001	231000 51536990.6878434 49360142.2071547 79094756.4940396 175573148.687567
232000 37564934.8774742 27660573.6795674 59773896.0633805 228663854.810381	232000 51263947.7179535 49644103.9056235 79116230.6606796 180414278.603817
233000 37006517.2267043 27580385.2276577 61036912.6248055 225690899.53516	233000 51003991.2072387 49938430.4331866 79175016.6925684 185476771.434488
234000 36480767.1173786 27513151.8054552 63111733.4584168 222851232.628548	234000 50756767.6718233 50243349.9873578 79268548.837739 190767547.595193
235000 35985615.286222 27458694.8583377 65304353.9377729 220108361.254636	235000 50521945.7395452 50559104.4096611 79394387.4116888 196293426.351959
236000 35519185.1051848 27416886.402011 67612729.4424117 217428310.720612	236000 50299214.9646799 50885949.8783698 79550199.3831812 202252355.205643
237000 35079771.76659 27387647.7479894 68324105.7883499 214780682.11967	237000 50088284.7376949 51224157.6601126 79733741.4022448 208828494.165877
238000 34665824.1700267 27370948.7006133 68179340.2811626 212139177.325644	238000 49888883.28251 51443131.4940188 79942844.9926948 215641817.817523
239000 34275929.1145978 27366807.211523 68079903.2332902 209481768.215718	239000 49700756.7344899 51604723.8082267 80175403.6824572 222696613.979962
240000 33908797.4655452 27375289.4856031 68034994.3184095 206790634.370683	240000 49523668.2930605 51781189.907037 80429361.8869868 229996287.288516
241000 33563252.017821 27396510.540334 68054775.7686463 204124171.085857	241000 49357397.4434452 51972735.2907508 81137586.7671737 237543156.727669
242000 33238216.8231897 27430635.2284691 68150590.2146862 203688283.841081	242000 49201739.2425579 52179596.2830526 81213867.0974937 245338225.085903
243000 32932707.7837993 27477879.7422159 68335246.0320168 203028948.90325	243000 49056503.6645805 52402040.7853263 81112278.738293 253380918.523996
244000 32645824.3452878 27538513.6258796 68623390.9333506 202141560.582521	244000 48921515.0021963 52640369.2049852 81029205.7347161 261668794.960457
245000 32376742.1475792 27612862.333487 69032002.86213 201021333.864208	245000 48796611.3198513 52894915.5640568 80963362.6435701 270197220.742973
246000 32124706.5124784 27701310.3785423 67835573.9391396 199663690.726266	246000 48681643.9557836 53166048.7961792 80913551.2755815 278959016.150042
247000 31889026.6647557 27804305.1351119 65040304.2866625 198064803.964221	247000 48576477.0698943 53454174.242182 80878654.534665 287944071.710463
248000 31669070.598208 27922361.3632987 62418636.172209 196222265.171327	248000 48480987.2348383 53759735.3565769 80857631.0646072 297138939.194929
249000 31464260.5106846 28056066.5483307 59955136.9293062 194135816.268867	249000 48395063.0679964 54083215.6396117 80849510.6109196 306526403.467829
250000 31274068.7426677 28206087.1615545 57636156.0281864 191808061.387856	250000 48318604.9022478 54425140.8120784 80853390.0178735 316085044.21252
251000 31098014.1630152 28373175.9743199 55449590.3116676 189245064.353568	251000 48251524.4937008 54786081.2528766 80868429.7911742 325788799.850683
252000 30935658.9531772 28558180.582996 53384680.6033301 186456741.473599	252000 48193744.7647667 55166654.7224441 80893851.1656576 335606549.708345
253000 30786605.7477993 28725034.0461709 51431836.0196479 183456981.289085	253000 48145199.5811653 55346570.7010173 80928933.6250683 345501734.514669
254000 30650495.0953075 28715035.7496945 49582482.5142792 180263459.321451	254000 48105833.5616508 55514218.0428797 80973012.8276073 355432039.448227
255000 30527003.206978 28710567.2629217 47828932.4700286 177312053.255694	255000 48075601.9194294 55701760.6269086 81025478.8966984 365349167.864761
256000 30415839.967251 28712038.4278453 46164272.4784254 176530971.099889	256000 48054470.3344182 55909564.1268911 81085775.0414759 375198737.13915
257000 30316747.1817641 28478967.1946377 44584149.0420778 175972710.20302	257000 48042414.8556625 56138042.5366192 81153396.4759535 384920330.21753
258000 30229497.0428296 28239347.3612484 43706159.5693157 175681163.506171	258000 48039421.833394 56387660.4543058 81227889.6098111 394447736.905412
259000 30153890.7949485 27879455.9265956 43294923.0227332 175704273.972696	259000 48045487.8803671 56658935.6988165 81308851.4873253 403709416.976585
260000 30089757.5854952 27392940.823462 42830787.5800829 180816260.737063	260000 48060619.8622715 56952442.2872763 81395929.4542482 412629212.269242
261000 30036953.4879782 26938021.2052909 42303163.9964116 193056524.667902	261000 48084834.9171689 57268813.8084808 81488821.0354708 421127326.562036
262000 29995360.6873294 26512041.2749381 41815192.4505854 206910931.324502	262000 48118160.504056 57608747.2321021 81587274.0091652 429121579.962415
263000 29964886.8185339 26112651.6933951 41367657.3451118 222582451.576402	263000 48160634.4808132 57973007.2000407 81691086.6658255 436528928.932999
264000 29945464.4516233 25737767.5600591 40961316.633452 240281299.473936	264000 48212305.2119496 58362430.853614 81800108.2432742 443267224.550488
265000 29937050.7176475 25385533.170994 40252998.983886 260212012.477759	265000 48273231.7067213 58777933.2587647 81914239.5313168 449257161.302543
266000 29939627.0717406 25054292.3165311 39124196.8992348 282551535.093064	266000 48343483.7883586 59220513.5013554 82033433.6423471 454424348.382512
267000 29953199.1908304 24742563.1319584 38056857.0935701 307414540.489312	267000 48423142.2953147 59691261.5361551 82534188.5897876 458701417.163447
268000 29977797.0049386 24448126.7102686 37927744.3963026 334801935.631288	268000 48512299.3156243 60064809.1905122 83085785.1259965 462030064.645945
269000 30013474.8623921 24060174.6061209 38039314.6277074 364529606.942206	269000 48611058.4556494 60371656.1116857 83633439.905857 464362925.387555
270000 30060311.8306527 23698725.1009052 38229713.7159934 396138513.197094	270000 48719535.1446924 60704056.2534951 84177147.4629633 465665165.458869
271000 30118412.135879 23361861.9295456 38502850.1920083 428796173.222935	271000 48837856.9771667 61062830.7024015 84716916.2809371 465915702.219154
272000 30187905.7458009 23047880.5097508 38864089.4843976 461212322.726926	272000 48966164.0942457 61448881.5754827 85252768.6818221 465107972.952123
273000 30268685.7650688 22755260.5550421 39320494.6590423 491615422.23745	273000 49104609.6071555 61863198.1690411 85784740.6329595 463405324.305983
274000 30354816.5331164 22482643.0233511 39881158.1195807 517856917.842762	274000 49253360.064545 62306863.8786659 86312881.4712615 460840399.600013
275000 30443813.6755506 22228810.6168104 40273503.2122131 537656634.524565	275000 49412595.9666542 62781063.9877434 86837253.5443209 457280267.105577
276000 30535723.371638 21992671.2095297 40247271.2944057 549000794.517216	276000 49582512.3293172 63287094.4371338 87357931.7683199 452772821.811861
277000 30630593.7244379 21773243.7046583 40228926.3539761 550589182.048326	277000 49763319.3011812 63826371.7072299 87875003.1032323 447377024.807055
278000 30728474.8279018 21569645.9190186 39508459.1516136 542166489.662128	278000 49955242.8379007 64400443.9654588 88388565.9463322 441161032.921851
279000 30829418.8375761 21381084.1697241 38582241.6441397 524591259.607809	279000 50158525.4374811 65011003.6581928 89106586.4022528 434200147.944395
280000 30933480.0451028 21206844.2973963 37729448.4043804 499609773.008822	280000 50373426.9414052 65659901.7568548 89996878.1823811 426574693.514057
281000 31040714.9567306 21046283.9085293 36942710.750108 469439313.138872	281000 50600225.4066834 66349163.9048313 90916810.8856378 418367921.147099
282000 31151182.3760592 20898825.6579842 36215686.7416016 436330393.347807	282000 50839218.0545283 67081008.7559662 91238452.9166099 409664033.415558
283000 31264943.4912588 20763951.4235924 35542888.4876968 402242539.516798	283000 51090722.3019802 67857868.8485934 91426192.3370512 400546394.273798
284000 31382061.9670207 20641197.2500266 34919543.6672615 368682379.643915	284000 51355076.8835042 68682414.4233703 91686031.7865117 391095976.233622
285000 31502604.0415144 20530148.9596574 34341483.5776707 336680471.991513	285000 51632643.0703525 69422633.3335064 92026991.906481 381482993.412851
286000 31626638.6286462 20430438.3450175 33805051.9430593 306852773.125054	286000 51923805.9963513 69992684.0869979 93047175.810149 372031498.506219
287000 31754237.4259334 20341739.8714772 33307030.1115258 279495956.670621	287000 52228976.0997406 70600001.3292284 94950888.800114 362488514.401276
288000 31885475.0283342 20263767.8303726 32844575.296852 255392010.868066	288000 52548590.6917804 71246460.2488456 96992588.9058664 352915436.162347
289000 32020429.0483929 20196273.8925857 32415169.2827101 234609985.543137	289000 52883115.6640574 71934122.2832887 97262098.2972001 343367543.648249
290000 32159180.2430915 20139045.0208144 32016575.5792229 216193720.746984	290000 53233047.3477981 72665256.3329093 97323372.4298503 333893948.537846
291000 32301812.6478226 20091901.7057842 31646803.4546999 199950178.510287	291000 53598914.5400465 73442363.260227 97404264.4739205 324537702.914891
292000 32448413.7179332 20054696.4976849 31304077.596003 185671488.689072	292000 53981280.7133099 74093437.9974696 97508511.0961233 315870735.592713
293000 32599074.478319 20027312.8093477 30986812.4055478 173151274.090581	293000 54380746.4272596 74223385.9568337 97640079.9564929 307504045.197585
294000 32753889.6815876 20009663.9722844 30693590.1404508 162193687.374614	294000 54797951.9633172 74388865.3186111 97803192.2925771 299377131.466585
295000 32912957.9753453 20001692.5308131 30423142.253703 152617697.511548	295000 55233580.2055113 73470707.9186119 98002350.6688755 291512617.215971
296000 33076382.0792077 20003369.7632123 30174333.4187409 144258419.596467	296000 55688359.7938886 72415378.1137215 98242372.7614106 283928768.793082
297000 33244268.9721779 20014695.4222809 29946147.8150615 139105093.07171	297000 56163068.5800822 71392365.4064004 98528432.2200782 276639917.841062
298000 33416730.0910877 20035697.6909113 29737677.3292887 142065504.817418	298000 56658537.4184212 70431207.4710506 98866107.8710468 269656866.941341
299000 33593881.54085 20066433.3513961 29548111.3877039 145315501.36863	299000 57175654.3303056 69246132.0188693 100618011.180412 262987268.55487
3e+05 33775844.3173325 20101383.3747814 29376728.1859845 148770187.231107	3e+05 57715369.0845442 68113990.9106737 103064800.012034 256635969.528269
301000 33962744.5437243 20140490.9722026 29222887.1222882 152337016.323214	301000 58278698.2420804 67039857.9315167 105699301.104734 250605315.826598
302000 34154713.7213402 20191088.6191879 29086022.2728276 155915716.09532	302000 58866730.7201314 66019299.784872 108541825.685882 244895414.138231
303000 34351888.9958817 20253346.1589696 28965636.7762162 159399115.338961	303000 59480633.9383885 65048349.7777464 111615858.525266 239504348.633324
304000 34554413.4402607 20327475.2668688 28861298.0153271 162675038.872292	304000 60121660.6187645 64123450.1229817 114948708.743257 234428352.525985
305000 34762436.3551799 20413731.2915539 28772633.5041102 165629344.163202	305000 60791156.3204288 63241402.5572386 118572330.285809 229661935.280982
306000 34976113.5887681 20512415.5133883 28699327.4025247 168150042.048917	306000 61490567.8038097 62399325.9095775 122514195.455223 225197967.411039
307000 35195607.8766757 20623877.8580654 28641117.5960316 170132275.427593	307000 62221452.3311829 61594619.5064446 126735156.014763 221027725.920749
308000 35421089.204157 20748520.1124644 28620311.2872794 171483751.00115	308000 62985488.0277719 60824931.499044 130745170.85865 217940218.304495
309000 35652735.1917996 20886799.6997266 28633100.0971261 172130068.172429	309000 63784485.4464283 60088131.3596564 134223011.16323 222871988.839422
310000 35890731.506704 21030224.2073563 28658283.0915762 172019309.507013	310000 64620400.5014948 59382285.9229811 137864598.592168 228008484.30648
311000 36135272.301077 21057206.3445514 28695828.9651047 171125283.708618	311000 65495348.9640495 58705638.4535484 141681046.184578 233320776.03466
312000 36386560.6803801 21060555.0423807 28745743.9902149 169448956.736915	312000 66411622.742237 58056590.3057493 145684299.885224 238774110.714803
313000 36644809.2033648 21073240.8061461 28808071.6377405 167017849.567276	313000 67371708.2078258 57433684.8129828 149887181.896805 244327530.590212
314000 36910240.4165415 21095393.8118641 28882892.4989206 163883472.635472	314000 68378306.8747572 56835593.0999136 154303428.67892 252404881.691114
315000 37183087.4258647 21127178.8417006 28970324.5047985 160417535.467941	315000 69434358.7888442 56261101.5592773 158411717.114837 260889028.712726
316000 37463594.5086774 21168797.6576686 29070523.443111 156460173.373025	316000 70543069.0518945 55709100.7739875 156499449.422052 269422741.652125
317000 37752017.7692452 21215481.4457554 29183683.7774091 152016859.333888	317000 71707937.9808124 55178575.6980053 154692164.863613 277934726.708182
318000 38048625.8415308 21269681.2193172 29310039.7778069 147188656.254453	318000 72932795.4957579 54668596.9367471 152975393.961601 286307758.125661
319000 38353700.643213 21333319.0922516 29449866.9776067 142074752.446296	319000 74221840.4450925 54178312.9906907 151319198.47778 294472065.905117
320000 38667538.1853476 21406652.3134846 29603483.9752204 136768556.129477	320000 75579685.7135506 53706943.3450972 149715565.514504 302356942.323744
321000 38990449.4425063 21489976.1871592 29771254.6064393 131354878.529558	321000 77011410.1301276 53253772.3050098 148157866.684273 309890899.283935
322000 39322761.288712 21582079.5207541 29953590.5183383 125908191.260155	322000 78522618.4016647 52818143.4884496 146639722.525006 317003765.006233
323000 39664817.5050381 21678574.0358541 30150954.1831259 120491835.888805	323000 80119510.5574365 52399454.9024165 145155026.413261 323628993.154485
324000 40016979.8653378 21779022.8289959 30056085.7104974 115158003.018224	324000 81808962.7127688 51997154.5362657 143697966.767717 330121913.676509
325000 40379629.3072505 21883273.0891967 29712075.9102323 109948278.561132	325000 83598621.3635178 51610736.4155452 142266202.44018 337156749.992584
326000 40753167.1963888 21991178.7119354 29412494.9722411 104894564.906848	326000 85497013.9314133 51239737.0666851 142768887.258369 343879062.640041
327000 41138016.6924575 22102601.7241688 29649929.976026 100020212.397825	327000 87513678.9236733 50883732.3492148 144323189.495088 354335602.849282
328000 41534624.2270087 22217413.8932701 29935671.9811172 95341231.8282027	328000 89659319.8901313 50542334.6176046 145828976.97349 375465633.211529
329000 41943461.1036094 22335498.5170349 30237826.0045908 90867494.3251955	329000 91945988.4128338 50215190.1795268 147283343.990342 401387643.158168
330000 42365025.2324027 22386886.9188282 30557231.260572 86603856.6578801	330000 94387302.7218962 49901977.021406 148683478.181999 431491459.361425
331000 42799843.0124027 22323868.5870132 30762026.422418 82551175.7512773	331000 96998710.3003339 49602402.7756833 150026667.091474 465080567.406845
332000 43248471.3764009 22276337.6182236 30645375.0618039 78707195.5863884	332000 99797805.1619178 49316202.9073239 151310302.971537 502858133.347638
333000 43711500.0150981 22243642.5932224 30549454.3749927 75068217.1707873	333000 102804713.558387 49043139.0998255 152531885.855016 546051343.201345
334000 44189553.7990448 22223274.6933645 30474773.8038134 71630075.2355262	334000 106042565.97558 48782997.8233839 153689024.991872 594887572.966302
335000 44683295.4192093 22208897.2959636 30869232.6491493 68521065.7559377	335000 109538078.811511 48535589.0699933 154779438.820469 650398656.035012
336000 45193428.2695362 22199526.2798388 31258624.1611184 65697263.5319607	336000 113322276.669311 48300745.2421509 155800953.704928 713867378.385548
337000 45720699.597754 22194609.7001286 31632981.4345847 63054544.2629864	337000 117431396.586627 48078320.1835081 156751501.728259 786903319.093174
338000 46265903.9540016 22193649.7935004 31796072.3177206 60584526.4747531	338000 121908030.008868 47868307.8877351 157629117.879362 871544837.585344
339000 46829886.9706241 22196196.2866211 31702022.995269 58278914.5261856	339000 126773768.830206 47673403.635868 158431937.008135 970396538.210728
340000 47413549.5108325 22045374.7049231 31605358.4777824 56129458.2961849	340000 131939680.329709 47494504.0999769 159158190.944628 1086814410.42226
341000 48017852.228901 21848925.7865009 31505207.5533021 54120508.1693938	341000 137412455.523741 47331292.4820799 159806206.183586 1225153755.2778
342000 48643820.5903169 21666885.237602 31400744.6017987 52239620.3065233	342000 143215466.548748 47183486.4148654 160374402.523809 1391096485.02614
343000 49281958.7715437 21498359.7254932 31291194.0428519 50478457.125924	343000 149374184.587554 47050836.5633982 160861293.02211 1592070333.73857
344000 49899426.4836647 21342543.8705532 31175834.7183848 48829055.5123281	344000 155916384.965503 46933125.4154656 161265485.574621 1837752609.59982
345000 50491672.1446143 21198711.0330532 31054004.1000922 47283841.9381097	345000 162872371.323055 46830166.2486258 161585686.37517 2140590721.94627
346000 51056333.8214478 21066205.3401981 30925102.2124039 45837338.0366177	346000 170275219.811036 46741802.2639515 161820705.423226 2516115567.33695
347000 51591075.7551338 20944434.7720274 30788595.1659238 44519936.2632173	347000 178161043.940562 46667905.8782242 161969464.1654 2982459158.95142
348000 52093609.3546003 20831170.7096762 30644018.2033676 43875529.6742944	348000 186569280.227547 46608378.1679625 162031005.257959 3557726757.62011
349000 52561714.9919506 20643847.1206961 30490978.1700244 44064096.2320041	349000 195542994.035585 46563148.4601945 162004504.337183 4252571219.69418
350000 52993264.2704621 20469986.3479839 30407265.254479 44272663.0960054	350000 205129203.952744 46532174.0663245 161889283.583908 5054073588.18109
351000 53386242.398302 20309013.5401395 30345800.323121 44526882.7129364	351000 215379221.52162 46515440.1568301 161684826.772578 5900411591.5515
352000 53738770.270106 20160410.2360689 30261217.249108 45086508.8296181	352000 226349001.025319 46512959.7758795 160035579.665118 6653981364.12909
353000 54049125.8376169 20023709.7818432 30153882.390847 45624827.8126774	353000 238099491.117106 46524773.9962904 155601789.152227 7118513622.97011
354000 54315764.3411749 19898493.3263886 30024261.7442323 46139843.4751807	354000 250696976.112276 46550952.2166028 151284575.559417 7135174182.78952
355000 54537336.9772734 19784386.3279328 29872915.9874121 46629572.9947924	355000 264213389.411423 46386574.953909 147085936.881349 6696955535.96073
356000 54712707.5944367 19681055.5136742 29700494.5569237 47092062.5260027	356000 278726574.384187 46184184.4156763 143006757.014065 5954435850.74406
357000 54840967.0405154 19588206.2440861 29507728.8696561 47525403.5620015	357000 294320458.604813 45993976.8849854 139047001.709275 5104579309.65756
358000 54921444.8286655 19505580.2409188 29156048.4827932 47927749.8547764	358000 311085094.985068 45815758.1007509 135205888.884446 4291015690.62867
359000 54953717.8456267 19432953.6445553 28639316.0027853 48297334.6722114	359000 329116507.386982 45649356.4086305 131482035.165366 3581964466.73004
360000 54937615.8926671 19370135.3721057 28138937.4594717 48632488.1436917	360000 348516257.937908 45494622.3605568 127873580.838076 2993279571.74528
361000 54873223.9243582 19316965.7526516 27653499.4230943 48931654.4222707	361000 369390627.733726 45351428.4279399 124378295.504512 2515490473.73868
362000 54760880.9303821 19273315.4205223 27181796.9084321 49193408.373137	362000 391849271.263139 45219668.8284595 120993666.724298 2130748829.22096
363000 54601175.4877638 19239084.4515013 26722803.1468554 49416471.4862042	363000 416003167.471403 45099259.4675392 117716973.826314 1820785777.35901
364000 54394938.0920329 19214201.7305485 26275643.6940139 49599726.7062959	364000 441961647.478858 44990137.9968093 114545348.920618 1569802152.62928
365000 54143230.4527004 19198624.543044 25839574.1790404 49742231.8785649	365000 469828232.643894 44892263.993159 111475826.958528 1365061531.12168
366000 53847332.0081621 19177219.2520428 25413961.1350324 49843231.5201261	366000 499694971.474802 44805619.263358 108505386.493609 1196617195.21052
367000 53508723.9751995 19091071.9329852 24998265.4545993 49902166.6517051	367000 531634928.321602 44730208.2807332 105630982.601374 1056803154.60492
368000 53129071.2966513 19012446.8114025 24601093.930781 49918682.4552634	368000 565692465.010268 44666058.7620465 102849573.228603 939731455.313329
369000 52710202.8862124 18941209.7313644 24378030.5190415 49892633.5644843	369000 601870990.572482 44613222.394564 100158140.069419 840870788.946287
370000 52254090.5909843 18877246.396114 24163747.1330811 49824086.8436095	370000 640117965.420801 44571775.7253869 97553704.907146 756716304.737635
371000 51762827.3003198 18820461.9318117 23957563.9738195 49713321.5649235	371000 680307175.926087 44541821.2274763 95033342.219783 684538811.70676
372000 51238604.6242673 18770780.5927363 23758861.0775559 49560826.9542986	372000 722218691.0739 44523488.5595041 92594188.7224598 622196912.717764
373000 50683690.5476615 18728145.6075375 23567072.2650425 49367297.1354772	373000 765517519.044042 44516936.0397759 90233450.4119089 567996946.319699
374000 50100407.4381994 18692519.1682254 23381679.8263232 49133623.5648467	374000 809732818.99532 44522352.3580831 87948407.5845303 520588524.903166
375000 49491110.7505746 18663882.5657713 23202209.8379175 48860885.1069811	375000 854240556.386651 44539958.5535516 85736418.2197331 478886351.114709
376000 48858168.7259804 18642236.4785537 23028228.0251635 48550335.9549228	376000 898253583.140059 44570010.2914966 83594920.0524035 442011392.819484
377000 48203943.3391751 18627601.4224616 22859336.095966 48203391.6460256	377000 940823999.720216 44612800.4781067 81521431.6011252 409246342.989949
378000 47530772.6958966 18560180.7483139 22695168.4833424 47821613.462496	378000 980862885.321569 44607761.132258 79513552.3707826 380001662.424962
379000 46840955.0336455 18439758.483297 22535389.4434621 47406691.534324	379000 1017181545.34376 44530956.0261981 77568962.4081225 353789504.573437
380000 46136734.4304253 18323764.9037928 22379690.4636478 46960426.9803411	380000 1048555886.99296 44461016.6314697 75685421.3555734 330203547.171555
381000 45420288.2803539 18212230.3881267 22227787.9413436 46484713.430471	381000 1073811324.77355 44397881.6546443 73860767.1210945 308903279.759264
382000 44693716.553268 18105183.8157609 22169243.3367481 45981518.2691193	382000 1091920327.37442 44341496.4332958 72830516.2923555 289601675.579278
383000 43959032.8183353 18002652.6584032 22077951.3540953 45452863.926838	383000 1102099703.46696 44291812.8138071 71938713.1715261 272055451.814499
384000 43218156.979786 17904663.1221896 21995223.5820045 44900809.5260071	384000 1103891826.52589 44248789.0455636 71068826.5486651 256057322.991556
385000 42472909.6464135 17739982.1101137 21915374.5818086 44327433.1577309	385000 1097214819.35675 44212389.6910903 70220732.3485268 241429799.647357
386000 41725008.035471 17480000.5020596 21838126.2408436 43734815.0330436	386000 1082371740.44837 44103080.4604961 69394283.1926949 228020192.958851
387000 40976063.2958226 17224534.9230678 21763643.5160047 43125021.7135618	387000 1060016895.50241 43699770.4991425 68793778.0837328 215696566.61746
388000 40227579.124333 16978940.0995135 21692064.013582 42500091.5865933	388000 1031086075.81715 43314825.2214582 68664670.2947305 204344437.394762
389000 39480951.5430452 16750411.707026 21559329.5005746 41862021.7089946	389000 996704069.48246 42947537.2689375 68586862.5039174 193864071.051453
390000 38737469.7021709 16537816.1411188 21142930.1110643 41212756.1042152	390000 958085414.682716 42597239.4666837 68563193.985328 184168254.420378
391000 37998317.5747273 16340066.4389028 20742813.7661304 40554175.5591662	391000 916442885.658911 42263526.6882822 68596835.3580903 175180450.49667
392000 37264576.4122278 16156191.5825472 20358162.1732763 39888088.9328088	392000 872913849.586993 41951887.495452 68691342.9710159 166833263.270107
393000 36537227.8366039 15985322.4699259 19988241.9965685 39216225.9573821	393000 828509253.679811 41663473.1706443 68850722.7827131 159067154.358776
394000 35817157.4509859 15826679.9468034 19632392.5541256 38540231.4864662	394000 784085219.472435 41396544.6078909 69079505.8967036 151829365.370456
395000 35105158.8606127 15679564.5606869 19290015.6334071 37861661.1218483	395000 740333954.450769 41149571.6233944 69382838.4770619 145073009.160628
396000 34401938.0045526 15543347.7595386 18960567.0399483 37334696.4135387	396000 697789118.028455 40921203.2488441 69766589.5090604 138756300.393612
397000 33708117.7087427 15392684.3238328 18663141.3687362 36824231.0398076	397000 656840580.020913 40710243.0374135 70705280.1085083 132841901.51127
398000 33024242.3807685 15237596.8200666 18447716.7323307 36313512.3430736	398000 617754172.910119 40515628.4244361 71830652.1086092 127296364.72249
399000 32350782.7765785 15091259.8625561 18269867.8833124 35803607.9668516	399000 580693083.496707 40183197.0273637 71377465.8061751 122235792.207531
4e+05 31688140.7787508 14945820.5088611 18098610.2098327 35295499.6416926	4e+05 545738611.794061 39598282.4830752 70036642.1541925 117668266.627432
401000 31036654.1348569 14808575.0722534 17933983.0561496 34790084.2917528	401000 512908954.018976 39047379.0606997 68764930.1568868 113357957.360995
402000 30396601.1128009 14681300.9699555 17776019.4450137 34288175.7989092	402000 482175370.063192 38528133.7066431 67558600.2095922 109285179.04736
403000 29768205.0376776 14563550.1303968 17730330.5771615 33790507.3223369	403000 453475575.660356 38038422.9588299 66414186.7663342 105445008.869646
404000 29151638.6816511 14428728.9214628 17710313.3018076 33297734.0769964	404000 426724493.182004 37576326.1821937 65328468.817152 102875202.659355
405000 28547028.484606 14282494.8933123 17695058.2597941 32810436.4811422	405000 401822650.600126 37140102.495707 64298451.930254 100935448.634539
406000 27954458.5888579 14147572.9458165 17684565.0900407 32329123.5903673	406000 378662580.28589 36728170.8117723 63321351.7443261 102069078.438271
407000 27373974.6760669 14023327.0437412 17678842.3378229 31854236.7435367	407000 357133573.648608 36339092.5104858 62394578.8020974 104013643.210542
408000 26805587.5987051 13909192.0831755 17677907.5635829 31386153.3539553	408000 337125119.95245 35971556.3533276 61733164.2164235 106044168.899886
409000 26249276.8020245 13804665.7166962 17591773.3674657 30925190.7870433	409000 318529315.198604 35624365.3073594 61967194.7242799 108161395.331095
410000 25704993.53552 13709301.4398307 17370905.4240802 30476315.9232064	410000 301242480.370441 35296425.0052092 62204886.6325026 110365711.116934
411000 25172663.8554103 13622702.7250126 17164162.0786903 30059064.8548396	411000 285166183.623691 34986733.6104914 62446189.4709833 112657099.929571
